The login screen can optionally allow users who have smartcards to log in using those smartcards.,325,Lile pazia la login linaweza kwa hiari kukubalia watumiaji walio na smart-kadi kuingia wakitumia hizo smart-kadi.,328,gdm,po/sw.po
Whether or not to allow passwords for login,333,Kama kukubalia au la nywila kwa ku-login,334,gdm,po/sw.po
"The login screen can be configured to disallow password authentication, forcing the user to use smartcard or fingerprint authentication.",337,"Lile pazia la login linaweza kusanidiwa kutokubali usahihisaji wa nywila, na kushurutisha mtumiaji kutumia usahihishaji wa smart-kadi au kwa kichapisha-kidole.",340,gdm,po/sw.po
Path to small image at top of user list,347,Njia kwa picha ndogo iliyo juu la orodha ya mtumiaji,348,gdm,po/sw.po
Avoid showing user list,379,Epuka kueonyesha orodha ya mtumiaji,380,gdm,po/sw.po
The login screen normally shows a list of available users to log in as. This setting can be toggled to disable showing the user list.,383,Lile pazia la login kwa kawaida linaonyesha oridha ya watumiaji wanaopatikana ili kuingia ndani kama. Hii mazingira inaweza kugeuzwa ili kutooonyesha orodha ya mtumiaji.,386,gdm,po/sw.po
Enable showing the banner message,392,Wezesha kuonyesha habari ya alamu,393,gdm,po/sw.po
Set to true to show the banner message text.,396,Tia kua sadifu kuonyesha alamu iliyo na maandiko ya habari.,397,gdm,po/sw.po
Banner message text,400,Alamu iliyo na maandiko ya habari,401,gdm,po/sw.po
Text banner message to show in the login window.,404,Maandiko ya habari iliyo kwa alamu ionyeshwe kwenye mizuka ya login.,405,gdm,po/sw.po
Disable showing the restart buttons,408,Zuia kuonyeshwa vitufe vya kuanzisha tena,409,gdm,po/sw.po
Set to true to disable showing the restart buttons in the login window.,412,Tia kua sadifu kuonyesha vile vitufe vya kuanzisha tena kwenye mizuka wa login.,413,gdm,po/sw.po
Number of allowed authentication failures,418,Idadi ya feli zinazokubaliwa katika usahihishaji,419,gdm,po/sw.po
"The number of times a user is allowed to attempt authentication, before giving up and going back to user selection.",422,"Ile idadi ya kipindi mtumiaji atakubaliwa kujaribu kujisahihisha, kabla ya kutilifu na kurudi kwenye uteuzi wa mtumiaji.",425,gdm,po/sw.po
Unable to create transient display: ,430,Haijafaulu kuunda onyesho la muda mfupi:,431,gdm,po/sw.po
Unable to activate session: ,434,Haijafaulu kuamsha kikao:,435,gdm,po/sw.po
Only the VERSION command is supported,438,Amri ya TOLEO pekee ndiyo inaungwa mkono,439,gdm,po/sw.po
COMMAND,442,AMRI,443,gdm,po/sw.po
Ignored — retained for compatibility,447,Imepuuzwa — imehifadhiwa kwa ajili ya utangamano,448,gdm,po/sw.po
Debugging output,451,Matokeo ya debugging,452,gdm,po/sw.po
Version of this application,455,Toleo la programu,456,gdm,po/sw.po
Screenshot taken,466,Screenshot imepigwa,467,gdm,po/sw.po
Take a picture of the screen,471,Piga picha ya pazia,472,gdm,po/sw.po
